case,N,kind,plan_scene,makespan,added_copy_bytes,scheduled_copy_bytes,partition_added,spill_added,cache_hit_bytes,cache_miss_bytes,cache_hit_rate,speedup,plan_sha256,fingerprint,record_id
case_001,2,problem_3,C,116868,1152,1640704,1152,0,0,821504,0.0,1.9946435294520313,8abd33f9588cf2db2e4db267744ecb98cb0bf34ecc2413578fc889728b672ffe,6b0318208eccd30674de393168be5d8fa959d5015135de20f19715a845fe3140,583ebb5cda3e454ca08005128a660ddc
case_001,3,problem_3,C,78545,2304,1641856,2304,0,0,822656,0.0,2.9678528232223567,6d6cffe48a71edc53effe10d454190930096c6ae6452d6526a7148d258612a74,351a7cbb7f36b191c764dbe86a6b67c416f30ef052e9c37894db3a748df80685,25a370bfc7fa469fb043bfc9072b1bac
case_001,4,problem_3,C,58984,3456,1643008,3456,0,0,823808,0.0,3.952088702020887,1d00a2193c4c02d534cc20d45bc282915d590734686d70f1a99d05bb79412d71,7aee859dbe185ffd57bc20a6ad87f4c63669cc8a60425ae6081a0cd5a74c6cdb,2394c73a2d5044bc958f74f1dc3870f0
case_001,5,problem_3,C,47502,4608,1644160,4608,0,0,824960,0.0,4.9073723211654245,b3dae29d0f436a750631fa72c2dee3456e91d22cc0a15ad9028aacf81002b61a,163b4768ecd3a85e3218fb863a4e43155ed03e2ea4f168136fd0c7f48449fcc8,5012bd3c47c2419dac5e5718f0b9d529
case_001,1,singlecore,,233110,0,1639552,0,0,,,,1.0,,520d1acb06adc82f4f98502064f671a6230a68f78e6b2e9ce89f577cccf9b0d6,9681effbf7e949859f2c6910fd2c9b0c
case_002,2,problem_3,C,131800,319488,1543680,319488,0,0,1382400,0.0,1.987443095599393,d78f623b400d176895af84ab8310d127e5c258e2fe3e873e5cf0940420d75e4b,0d47926977ec0fecba0b3460772966f3bd56962e4497315fe1bcc31d68153eac,d8139ceffb6043c18c358dc4cc46ebef
case_002,3,problem_3,C,88703,494592,1718784,494592,0,0,1469952,0.0,2.9530568300959383,0d01b4ebe932c5ff4818f4fc6cb54044a3e50a3cc34080055fb3ad97273b2f24,99084ebfcbe5854070bfa270c1877fb8c8c2bc64ff399f2d2d737d3318b47c1d,38b70f5106554b858a72389ba72d5202
case_002,4,problem_3,C,66822,466944,1691136,466944,0,0,1456128,0.0,3.920041303762234,cdd7f2a3244b23f9fe3289c598d2ed732054414989db4fe77a24d6c8e05c7878,9fd45519e4aecce5da2b18dbb129ae272eb34851b04f124ad28209ae880aff6e,d26c83d5f3e34f63a905924ee5d91118
case_002,5,problem_3,C,54257,552960,1777152,552960,0,0,1499136,0.0,4.827856313471073,1c0e276a3623d8895a4aac686ab82bb389f24fda0cca91cd09545ea4d584e412,0a7ecf79c08c8c72a85d5a456b4a863f568883c42dd3399e023f54b7f9d92a14,93b290174b414dd1874c65afc4101c05
case_002,1,singlecore,,261945,0,1224192,0,0,,,,1.0,,5053746c21bf3bf1e8d9eed9d4fdbe446286f6210179b09a6260b69b3b3b5b52,351b170a8f714e8dbd81b2f2144e0eb6
